appid,category
10,Multi-player
10,PvP
10,Online PvP
10,Shared/Split Screen PvP
10,Color Alternatives
10,Custom Volume Controls
10,Keyboard Only Option
10,Stereo Sound
10,Valve Anti-Cheat enabled
10,Family Sharing
20,Multi-player
20,PvP
20,Online PvP
20,Shared/Split Screen PvP
20,Custom Volume Controls
20,Keyboard Only Option
20,Stereo Sound
20,Valve Anti-Cheat enabled
20,Remote Play Together
20,Family Sharing
30,Multi-player
30,Camera Comfort
30,Color Alternatives
30,Custom Volume Controls
30,Stereo Sound
30,Valve Anti-Cheat enabled
30,Family Sharing
40,Multi-player
40,PvP
40,Online PvP
40,Shared/Split Screen PvP
40,Color Alternatives
40,Custom Volume Controls
40,Keyboard Only Option
40,Stereo Sound
40,Valve Anti-Cheat enabled
40,Remote Play Together
40,Family Sharing
50,Single-player
50,Multi-player
50,Custom Volume Controls
50,Adjustable Difficulty
50,Playable without Timed Input
50,Save Anytime
50,Valve Anti-Cheat enabled
50,Family Sharing
60,Multi-player
60,PvP
60,Online PvP
60,Custom Volume Controls
60,Keyboard Only Option
60,Stereo Sound
60,Valve Anti-Cheat enabled
60,Family Sharing
70,Single-player
70,Multi-player
70,PvP
70,Online PvP
70,Full controller support
70,Color Alternatives
70,Custom Volume Controls
70,Adjustable Difficulty
70,Keyboard Only Option
70,Playable without Timed Input
70,Save Anytime
70,Stereo Sound
70,Steam Cloud
70,Valve Anti-Cheat enabled
70,Remote Play on Phone
70,Remote Play on Tablet
70,Family Sharing
