appid,name,type,is_free,short_description,detailed_description,developers,publishers,price,genres,categories,release_date,platforms,metacritic_score,recommendations
10,Counter-Strike,game,False,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,Valve,Valve,$9.99,Action,"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Stereo Sound, Valve Anti-Cheat enabled, Family Sharing","Nov 1, 2000","{'windows': True, 'mac': True, 'linux': True}",88.0,161085.0
20,Team Fortress Classic,game,False,"One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.","One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.",Valve,Valve,$4.99,Action,"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Custom Volume Controls, Keyboard Only Option, Stereo Sound, Valve Anti-Cheat enabled, Remote Play Together, Family Sharing","Apr 1, 1999","{'windows': True, 'mac': True, 'linux': True}",,6601.0
30,Day of Defeat,game,False,"Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations.","Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations. And, as war rages, players must work together with their squad to accomplish a variety of mission-specific objectives.",Valve,Valve,$4.99,Action,"Multi-player, Camera Comfort, Color Alternatives, Custom Volume Controls, Stereo Sound, Valve Anti-Cheat enabled, Family Sharing","May 1, 2003","{'windows': True, 'mac': True, 'linux': True}",79.0,4305.0
40,Deathmatch Classic,game,False,"Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.","Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.",Valve,Valve,$4.99,Action,"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Stereo Sound, Valve Anti-Cheat enabled, Remote Play Together, Family Sharing","Jun 1, 2001","{'windows': True, 'mac': True, 'linux': True}",,2329.0
50,Half-Life: Opposing Force,game,False,"Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.","Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.",Gearbox Software,Valve,$4.99,Action,"Single-player, Multi-player, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Valve Anti-Cheat enabled, Family Sharing","Nov 1, 1999","{'windows': True, 'mac': True, 'linux': True}",,22502.0
60,Ricochet,game,False,"A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.","A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.",Valve,Valve,$4.99,Action,"Multi-player, PvP, Online PvP, Custom Volume Controls, Keyboard Only Option, Stereo Sound, Valve Anti-Cheat enabled, Family Sharing","Nov 1, 2000","{'windows': True, 'mac': True, 'linux': True}",,4361.0
70,Half-Life,game,False,"Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.","Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.",Valve,Valve,$9.99,Action,"Single-player, Multi-player, PvP, Online PvP, Full controller support, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Save Anytime, Stereo Sound, Steam Cloud, Valve Anti-Cheat enabled, Remote Play on Phone, Remote Play on Tablet, Family Sharing","Nov 19, 1998","{'windows': True, 'mac': True, 'linux': True}",96.0,106148.0
80,Counter-Strike: Condition Zero,game,False,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.","With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.",Valve,Valve,$9.99,Action,"Single-player, Multi-player, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Valve Anti-Cheat enabled, Family Sharing","Mar 1, 2004","{'windows': True, 'mac': True, 'linux': True}",65.0,19949.0
92,Codename Gordon,advertising,True,"Created by Nuclearvision Entertainment, Codename Gordon takes players through dozens of levels inspired by Half-Life and Half-Life 2, challenges players to a slew of puzzles, and showcases many of the familiar creatures in an all new, 2 dimensional playing field.","Created by Nuclearvision Entertainment, Codename Gordon takes players through dozens of levels inspired by Half-Life and Half-Life 2, challenges players to a slew of puzzles, and showcases many of the familiar creatures in an all new, 2 dimensional playing field.",Nuclear Vision,,Free,"Indie, Free To Play",Single-player,"May 1, 2004","{'windows': True, 'mac': False, 'linux': False}",,
100,Counter-Strike: Condition Zero,game,False,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.","With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.",Valve,Valve,$9.99,Action,"Single-player, Multi-player, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Valve Anti-Cheat enabled, Family Sharing","Mar 1, 2004","{'windows': True, 'mac': True, 'linux': True}",65.0,19949.0
